party_id,party_title,party_first_name,party_last_name,contact_address,contact_email_address,contact_telephone_no,contact_mobile_no,offer_name,business_purpose,state,treatment_name,channel_name,decision_datetime,incontrolgroup
123457,Mr,Aaron,Caballero,"28 CRATHIE TERRACE, ABERDEEN, AB10 6BJ",ezgi.deveci@adqura.com,00000456790,10000345679,qadxv,Xsell-Upsell,Acquisition,qadxv_OutboundCC,OutboundCC,20190326T071517.044 GMT,N
123458,Mr,Abdul,Cable,"8 Fern Drive, Portlethen, ABERDEEN, AB12 4TB",kagan.kaya@adqura.com,00000456791,10000345680,qadxv,Xsell-Upsell,Renew,qadxv_OutboundCC,OutboundCC,20190326T071513.453 GMT,N
123459,Mr,Abe,Cabral,"24 DUNLIN CRESCENT, COVE BAY, ABERDEEN, AB12 3WJ",Abe.Cabral@test.adqura.com,00000456792,10000345681,qadxv,Xsell-Upsell,Acquisition,qadxv_OutboundCC,OutboundCC,20190326T071459.011 GMT,N
123460,Mr,Abel,Cabrera,"6 ST. RONANS CIRCLE, PETERCULTER, AB14 0NE",subrata.podder@adqura.com,00000456793,10000345682,qadxv,Xsell-Upsell,Acquisition,qadxv_OutboundCC,OutboundCC,20190326T071454.996 GMT,N
123461,Mr,Abraham,Cade,"20 ARDBECK PLACE, PETERCULTER, AB14 0ST",Abraham.Cade@test.adqura.com,00000456794,10000345683,qadxv,Xsell-Upsell,Acquisition,qadxv_OutboundCC,OutboundCC,20190326T071502.818 GMT,N
123462,Mr,Abram,Cady,"CRAIGENDARR, 16 St. Ronans Circle, PETERCULTER, AB14 0NE",Abram.Cady@test.adqura.com,00000456795,10000345684,qadxv,Xsell-Upsell,Renew,qadxv_OutboundCC,OutboundCC,20190326T071500.054 GMT,N
123463,Mr,Adalberto,Cagle,"41 Fare Park Drive, WESTHILL, AB32 6WE",Adalberto.Cagle@test.adqura.com,00000456796,10000345685,qadxv,Xsell-Upsell,Acquisition,qadxv_OutboundCC,OutboundCC,20190326T071511.511 GMT,N
123464,Mr,Adam,Cahill,"18 LEE CRESCENT, BRIDGE OF DON, ABERDEEN, AB22 8FJ",Adam.Cahill@test.adqura.com,00000456797,10000345686,qadxv,Xsell-Upsell,Renew,qadxv_OutboundCC,OutboundCC,20190326T071455.097 GMT,N
123468,Mr,Adrian,Caldwell,"104 Laurel Avenue, Bridge of Don, ABERDEEN, AB22 8QJ",Adrian.Caldwell@test.adqura.com,00000456801,10000345690,qadxv,Xsell-Upsell,Acquisition,qadxv_OutboundCC,OutboundCC,20190326T071508.293 GMT,N
123470,Mr,Ahmad,Calkins,"33 STRONSAY DRIVE, ABERDEEN, AB15 6JJ",Ahmad.Calkins@test.adqura.com,00000456803,10000345692,qadxv,Xsell-Upsell,Acquisition,qadxv_OutboundCC,OutboundCC,20190326T071500.478 GMT,N
123471,Mr,Ahmed,Call,"7 Kepplehills Drive, Bucksburn, ABERDEEN, AB21 9PS",Ahmed.Call@test.adqura.com,00000456804,10000345693,qadxv,Xsell-Upsell,Acquisition,qadxv_OutboundCC,OutboundCC,20190326T071520.092 GMT,N
123472,Mr,Al,Callahan,"Majestic, 1A Gardiners Brae, BANFF, AB45 1BD",Al.Callahan@test.adqura.com,00000456805,10000345694,qadxv,Xsell-Upsell,Acquisition,qadxv_OutboundCC,OutboundCC,20190326T071502.197 GMT,N
123478,Mr,Alec,Camacho,"98 DEN CRESCENT, KEITH, AB55 5LW",Alec.Camacho@test.adqura.com,00000456811,10000345700,qadxv,Xsell-Upsell,Acquisition,qadxv_OutboundCC,OutboundCC,20190326T071508.916 GMT,N
